Time,Roller Count,Barcode,AC_X,AC_Y,AC_Z,GY_X,GY_Y,GY_Z,Pressure,Thermal,Trash
50:16.7,0,,-0.06640625,-0.068359375,0.966796875,2.319335938,0.671386719,-0.9765625,101422,,
50:16.9,0,,-0.576171875,0.176757813,0.416992188,94.90966797,-91.55273438,-2.075195313,101422,,
50:16.9,0,,-0.055664063,-0.037109375,0.626953125,-50.53710938,-7.995605469,9.765625,101422,,
50:17.1,2,,-0.528320313,0.057617188,0.052734375,40.28320313,-6.713867188,5.126953125,101422,,
50:17.3,2,,-0.063476563,-0.114257813,-0.190429688,128.1738281,-49.56054688,-1.892089844,101421,,
50:17.4,2,,0.361328125,-0.278320313,0.434570313,-108.8256836,3.662109375,-19.83642578,101421,,
50:17.5,2,,0.186523438,-0.255859375,1.645507813,32.59277344,-8.666992188,5.981445313,101421,,
50:17.6,2,,0.251953125,0.201171875,1.076171875,-294.4335938,-10.25390625,-1.281738281,101421,,
50:17.8,2,,-0.142578125,0.97265625,0.6171875,-67.68798828,-2.258300781,-0.305175781,101422,,
50:17.9,2,,-0.161132813,0.034179688,0.33203125,-6.469726563,-51.45263672,-2.9296875,101422,,
50:18.0,2,,-3.33984375,0.125,-0.060546875,71.35009766,66.71142578,-12.57324219,101422,,
50:18.1,2,,0.0703125,0.11328125,1.345703125,-68.96972656,-11.71875,-0.793457031,101422,,
50:18.3,3,,-0.060546875,0.018554688,0.498046875,137.4511719,-4.089355469,14.22119141,101421,,
50:18.4,3,,0.096679688,-0.259765625,0.801757813,275.7568359,14.6484375,10.68115234,101421,,
50:18.5,3,,-0.116210938,0.045898438,1.66796875,-333.6791992,5.920410156,-5.187988281,101421,,
50:18.7,3,,-0.177734375,-0.338867188,0.853515625,-170.2270508,-2.44140625,-1.342773438,101420,,
50:18.8,3,,-0.734375,0.3671875,0.615234375,17.39501953,-19.34814453,-27.09960938,101420,,
50:19.0,3,,-0.364257813,0.248046875,-0.21875,-102.9052734,-6.286621094,3.540039063,101420,,
50:19.1,3,,0.275390625,-0.778320313,-1.211914063,249.7558594,8.239746094,4.39453125,101420,,
50:19.3,4,,0.348632813,0.22265625,1.03515625,-134.2773438,-7.141113281,3.601074219,101421,,
50:19.5,4,,0.5390625,-0.213867188,0.78125,-50.90332031,-5.493164063,8.30078125,101421,,
50:19.6,4,,0.225585938,-0.147460938,-0.045898438,-159.7290039,-13.36669922,-9.948730469,101421,,
50:19.7,4,,-0.967773438,-0.684570313,4.341796875,467.4072266,1.037597656,-192.0776367,101420,,
50:19.9,4,,-0.541992188,-0.9765625,0.54296875,145.8740234,0.671386719,8.056640625,101420,,
50:20.0,4,,0.307617188,-0.059570313,1.11328125,59.38720703,2.319335938,-0.610351563,101420,,
50:20.1,4,,-0.0078125,0,0.942382813,2.9296875,0.549316406,-0.366210938,101420,,
50:20.3,4,,0.009765625,-0.038085938,0.928710938,8.239746094,0.793457031,-0.366210938,101420,,
50:20.4,4,,0.015625,0.024414063,0.995117188,0.244140625,0.48828125,-0.427246094,101420,,
50:20.5,4,,0.00390625,-0.0234375,0.931640625,-3.295898438,0.915527344,-0.915527344,101420,,
50:20.6,4,,0.024414063,-0.021484375,0.962890625,-4.150390625,0.793457031,-1.403808594,101420,,
